TIME,Value
1995M01,4.8
1995M02,4.9
1995M03,4.8
1995M04,4.3
1995M05,3.6
1995M06,3.5
1995M07,3.6
1995M08,3.9
1995M09,4.2
1995M10,4.2
1995M11,4.3
1995M12,4.8
1996M01,5.6
1996M02,6
1996M03,6.1
1996M04,5.2
1996M05,4.1
1996M06,3.9
1996M07,3.9
1996M08,4.2
1996M09,4.5
1996M10,4.3
1996M11,4.3
1996M12,4.7
1997M01,5.5
1997M02,5.8
1997M03,5.8
1997M04,5.1
1997M05,4
1997M06,3.8
1997M07,3.9
1997M08,4.3
1997M09,4.6
1997M10,4.5
1997M11,4.5
1997M12,5
1998M01,5.8
1998M02,6.2
1998M03,6.2
1998M04,5.4
1998M05,4.1
1998M06,3.9
1998M07,3.9
1998M08,4.1
1998M09,4.4
1998M10,4.2
1998M11,4.1
1998M12,4.4
1999M01,5
1999M02,5.3
1999M03,5.4
1999M04,4.7
1999M05,3.6
1999M06,3.4
1999M07,3.3
1999M08,3.5
1999M09,3.8
1999M10,3.7
1999M11,3.8
1999M12,4.3
2000M01,5
2000M02,5.4
2000M03,5.3
2000M04,4.2
2000M05,3.2
2000M06,3
2000M07,3.1
2000M08,3.4
2000M09,3.7
2000M10,3.6
2000M11,3.5
2000M12,3.8
2001M01,4.2
2001M02,4.5
2001M03,4.6
2001M04,4.3
2001M05,3.5
2001M06,3.4
2001M07,3.4
2001M08,3.6
2001M09,4
2001M10,3.9
2001M11,4
2001M12,4.4
2002M01,5.1
2002M02,5.5
2002M03,5.5
2002M04,4.7
2002M05,3.7
2002M06,3.5
2002M07,3.6
2002M08,4
2002M09,4.3
2002M10,4.2
2002M11,4.1
2002M12,4.4
2003M01,5
2003M02,5.3
2003M03,5.6
2003M04,5.3
2003M05,4.3
2003M06,4.2
2003M07,4.1
2003M08,4.4
2003M09,4.6
2003M10,4.6
2003M11,4.6
2003M12,5.1
2004M01,5.8
2004M02,5.8
2004M03,6
2004M04,5.9
2004M05,5.1
2004M06,5.1
2004M07,5.1
2004M08,5.3
2004M09,5.7
2004M10,5.6
2004M11,5.3
2004M12,5.4
2005M01,5.4
2005M02,5.7
2005M03,6
2005M04,5.7
2005M05,5.7
2005M06,5.6
2005M07,5.8
2005M08,5.3
2005M09,5.6
2005M10,5.7
2005M11,5.7
2005M12,5.4
2006M01,5.8
2006M02,6.1
2006M03,6.1
2006M04,5.5
2006M05,4.7
2006M06,5.5
2006M07,5.3
2006M08,4.6
2006M09,4.8
2006M10,4.8
2006M11,4.8
2006M12,5
2007M01,4.9
2007M02,5.5
2007M03,5
2007M04,5.4
2007M05,5.1
2007M06,4.6
2007M07,5.2
2007M08,5.1
2007M09,4.4
2007M10,4.5
2007M11,4.6
2007M12,4.1
2008M01,4.3
2008M02,4.7
2008M03,4.4
2008M04,3.8
2008M05,3.8
2008M06,3.5
2008M07,4
2008M08,4.4
2008M09,3.8
2008M10,3.8
2008M11,4.5
2008M12,4.7
2009M01,4.8
2009M02,5
2009M03,5.2
2009M04,5.6
2009M05,5
2009M06,5.2
2009M07,5.9
2009M08,5.3
2009M09,6
2009M10,5.1
2009M11,5.8
2009M12,5
2010M01,4.9
2010M02,5.5
2010M03,5.4
2010M04,5.2
2010M05,4.8
2010M06,4.7
2010M07,4.8
2010M08,4.7
2010M09,4.8
2010M10,4.5
2010M11,4.4
2010M12,4.4
2011M01,4.7
2011M02,5.8
2011M03,4.7
2011M04,4.7
2011M05,4.5
2011M06,4.1
2011M07,4.1
2011M08,3.9
2011M09,4
2011M10,4.7
2011M11,5
2011M12,4.7
2012M01,4.2
2012M02,5.4
2012M03,4.7
2012M04,4.7
2012M05,4.8
2012M06,4.9
2012M07,5
2012M08,5.1
2012M09,5.1
2012M10,4.7
2012M11,5.1
2012M12,4.9
2013M01,5.6
2013M02,5.7
2013M03,5.9
2013M04,5.2
2013M05,4.9
2013M06,4.9
2013M07,5.5
2013M08,5.1
2013M09,5.4
2013M10,5.2
2013M11,5.6
2013M12,5.3
2014M01,6
2014M02,5.8
2014M03,6.1
2014M04,5.3
2014M05,5.2
2014M06,5.8
2014M07,5.7
2014M08,5.3
2014M09,5.8
2014M10,5.4
2014M11,5.6
2014M12,5.7
2015M01,5.6
2015M02,5.9
2015M03,5.9
2015M04,6
2015M05,5.8
2015M06,5.6
2015M07,5.6
2015M08,5.5
2015M09,5.8
2015M10,5.2
2015M11,6.2
2015M12,5.7
2016M01,6.3
2016M02,6.5
2016M03,5.9
2016M04,6
2016M05,6.3
2016M06,6.1
2016M07,6.1
2016M08,6.3
2016M09,6
2016M10,5.6
2016M11,5.7
2016M12,5.6
2017M01,5.8
2017M02,6.2
2017M03,5.9
2017M04,5.4
2017M05,5.4