Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1986,0.076446957,0.06693375,0.053308571,0.0385736,0.034726122,0.01393,0.039395,0.033354286,0.046543784,0.040072368,0.043002857,0.044207936
1987,0.041277116,0.024445,0.040601667,0.035034167,0.029149231,0.028002581,0.018000333,0.044799286,0.075780857,0.047903684,0.037751481,0.043592833
1988,0.033786111,0.042109,0.041824118,0.036045333,0.031586111,0.042365882,0.027269167,0.024337273,0.0586765,0.058826667,0.060976667,0.028922941
1989,0.0403325,0.031059677,0.05105125,0.0411625,0.029159333,0.013907,0.016284,0.024744333,0.044415167,0.036255714,0.053929167,0.038922642
1990,0.060117667,0.042577,0.047623404,0.0558,0.061183469,0.043045,0.033199333,0.042376,0.070847667,0.054885455,0.060804706,0.039685
1991,0.051561667,0.067595,0.055268485,0.0547995,0.034232857,0.036644286,0.03351,0.127369375,0.168131212,0.145673,0.166326667,0.160275263
1992,0.130059643,0.122844,0.1176945,0.124057333,0.131341071,0.163053167,0.1808125,0.160364286,0.201094211,0.173973167,0.178696667,0.1314315
1993,0.10449963,0.113312381,0.095053167,0.096579375,0.086538889,0.100335385,0.118601277,0.105413833,0.090308333,0.09542725,0.100103953,0.09919625
1994,0.100571429,0.06497,0.073860167,0.088996591,0.082213667,0.037674839,0.080505,0.091132381,0.065840667,0.072321333,0.09820425,0.071653696
1995,0.105515714,0.084559,0.088812857,0.077150833,0.070741864,0.070838704,0.030288095,0.095620556,0.0687576,0.057829286,0.071984,0.093219722
1996,0.080459412,0.052870556,0.064188,0.070670333,0.071658,0.070577719,0.070530765,0.070559541,0.070697549,0.07095454,0.096055,0.057633833
1997,0.072471111,0.070516087,0.076076923,0.043955217,0.02611,0.029996923,0.047487833,0.030709762,0.061589808,0.057850167,0.084455128,0.0919925
1998,0.069600245,0.069552698,0.069570885,0.069683818,0.069899861,0.036731429,0.035869,0.036322222,0.060222353,0.060654222,0.0427772,0.075609091
1999,0.039628833,0.043743667,0.062553056,0.0339825,0.032924833,0.040671471,0.0112795,0.0338975,0.045757826,0.040137,0.039283636,0.055887778
2000,0.036645333,0.041800816,0.053735167,0.033163966,0.060999574,0.034872683,0.023798,0.031687273,0.086965789,0.063358,0.041105405,0.075316071
2001,0.0683,0.078225385,0.064657407,0.065537195,0.054901515,0.048997366,0.043770603,0.042374,0.0564275,0.029700476,0.055258039,0.035093
2002,0.048180815,0.034785328,0.04101902,0.0214608,0.015796739,0.044291765,0.042684286,0.020218182,0.030717556,0.031767692,0.069556216,0.023390308
2003,0.055073684,0.033355909,0.034831935,0.020929123,0.02319931,0.027722027,0.016773125,0.027041538,0.067305532,0.048571818,0.026174762,0.085667037
2004,0.058304,0.033938824,0.046075,0.036378295,0.017211667,0.0321835,0.027728571,0.03957,0.032645,0.039521538,0.041634286,0.038667979
2005,0.058179333,0.029862222,0.031272778,0.067131154,0.073900547,0.079637393,0.075362924,0.071350506,0.071234155,0.062045116,0.066053871,0.062796996
2006,0.064715434,0.079282859,0.076685573,0.067052368,0.06756934,0.07609762,0.073597601,0.068786139,0.073768071,0.072079499,0.066442587,0.042855714
2007,0.07079,0.052378132,0.026555455,0.021649833,0.037501429,0.010722807,0.011860991,0.024527143,0.051193243,0.05929,0.040607,0.06086954
2008,0.056311111,0.036314865,0.032072667,0.029878235,0.0295275,0.02105,0.013277179,0.016341017,0.035984545,0.0317275,0.032077778,0.038284667
2009,0.080508125,0.03972,0.051977317,0.037859032,0.036358261,0.02167875,0.021337576,0.054762381,0.035616429,0.034917333,0.038498667,0.030534286
2010,0.043972857,0.041178679,0.035371333,0.035225,0.043936,0.056048182,0.0300268,0.056142727,0.057403125,0.051594286,0.064215,0.024452174
2011,0.043969107,0.113702632,0.053821923,0.011960426,0.019614118,0.051397,0.033831167,0.016599211,0.052954615,0.064807167,0.088281633,0.093146786
2012,0.066640714,0.033635366,0.050104,0.047389375,0.048196053,0.025855455,0.020766944,0.036419048,0.0571425,0.035384333,0.049162381,0.051435
2013,0.04199,0.05460125,0.05106619,0.057924,0.041318667,0.015507059,0.01125,0.0208685,0.050021538,0.045837345,0.025151667,0.021216
2014,0.062471765,0.07366,0.020703333,0.035601667,0.031947167,0.043695,0.035872,0.052556129,0.063454483,0.095766667,0.049096818,0.033006667