year,BirthNum
1855,1460
1856,1722
1857,1966
1858,2272
1859,2647
1860,3146
1861,3441
1862,4064
1863,5115
1864,6501
1865,7490
1866,8466
1867,8918
1868,9391
1869,9718
1870,10277
1871,10592
1872,10795
1873,11222
1874,12844
1875,14438
1876,16168
1877,16856
1878,17770
1879,18070
1880,19341
1881,18732
1882,19009
1883,19202
1884,19846
1885,19693
1886,19299
1887,19135
1888,18902
1889,18457
1890,18278
1891,18273
1892,17876
1893,18187
1894,18528
1895,18546
1896,18612
1897,18737
1898,18955
1899,18835
1900,19546
1901,20491
1902,20655
1903,21829
1904,22766
1905,23682
1906,24252
1907,25094
1908,25940
1909,26524
1910,25984
1911,26354
1912,27508
1913,27935
1914,28338
1915,27850
1916,28509
1917,28239
1918,25860
1919,24483
1920,29921
1921,29623
1922,30448
1923,29148
1924,29260
1925,29869
1926,29904
1927,29278
1928,28938
1929,28859
1930,28822
1931,28867
1932,27535
1933,27204
1934,27220
1935,27150
1936,28395
1937,29896
1938,30845
1939,32872
1940,36945
1941,39170
1942,37818
1943,34684
1944,38037
1945,41534
1946,47524
1947,49698
1948,49062
1949,48841
1950,49331
1951,49806
1952,51846
1953,51888
1954,54055
1955,55596
1956,56531
1957,58425
1958,60556
1959,61798
1960,62779
1961,65390
1962,65014
1963,64527
1964,62302
1965,60047
1966,60003
1967,61022
1968,62112
1969,62360
1970,62050
1971,64460
1972,63215
1973,60727
1974,59336
1975,56639
1976,55105
1977,54179
1978,51029
1979,52279
1980,50542
1981,50794
1982,49938
1983,50474
1984,51636
1985,51798
1986,52823
1987,55254
1988,57546
1989,58091
1990,60153
1991,59911
1992,59166
1993,58782
1994,57321
1995,57671
1996,57280
1997,57604
1998,55349
1999,57053
2000,56605
2001,55799
2002,54021
2003,56134
2004,58073
2005,57745
2006,59193
2007,64044
2008,64343
2009,62543
2010,63897
2011,61403