Year,Warming,CO2
1959,0.03,315.9741667
1960,-0.02,316.9075
1961,0.05,317.6375
1962,0.03,318.4508333
1963,0.06,318.9941667
1964,-0.2,319.6945052
1965,-0.1,320.0441667
1966,-0.05,321.3833333
1967,-0.02,322.1575
1968,-0.07,323.045
1969,0.07,324.6241667
1970,0.02,325.68
1971,-0.09,326.32
1972,0.01,327.4533333
1973,0.15,329.6766667
1974,-0.07,330.185
1975,-0.02,331.0770833
1976,-0.11,332.04
1977,0.18,333.8316667
1978,0.07,335.4033333
1979,0.17,336.8416667
1980,0.27,338.7516667
1981,0.33,340.105
1982,0.13,341.4483333
1983,0.3,343.0541667
1984,0.15,344.5864583
1985,0.12,346.1158333
1986,0.19,347.4208333
1987,0.33,349.1941667
1988,0.41,351.5675
1989,0.28,353.1208333
1990,0.44,354.3941667
1991,0.43,355.6075
1992,0.23,356.445
1993,0.24,357.1
1994,0.32,358.8325
1995,0.46,360.82
1996,0.35,362.6066667
1997,0.48,363.7291667
1998,0.64,366.6991667
1999,0.42,368.3775
2000,0.42,369.5483333
2001,0.55,371.1416667
2002,0.63,373.2791667
2003,0.62,375.8025
2004,0.55,377.5225
2005,0.69,379.7958333
2006,0.63,381.8958333
2007,0.66,383.7916667
2008,0.54,385.6041667
2009,0.64,387.43
2010,0.71,389.8991667
2011,0.6,391.6525
2012,0.63,393.8533333
2013,0.65,396.5208333
2014,0.74,398.6475
2015,0.87,400.8341667
2016,0.99,404.2091667