Time,SeaLevel
1993.042,-41.2
1993.125,-45
1993.208,-36.9
1993.292,-43
1993.375,-38.9
1993.458,-44.1
1993.542,-38.4
1993.625,-37.6
1993.708,-30
1993.792,-31
1993.875,-31.8
1993.958,-32.8
1994.042,-36.7
1994.125,-41.5
1994.208,-33.1
1994.292,-36.6
1994.375,-41.4
1994.458,-41.9
1994.542,-40.8
1994.625,-34.4
1994.708,-33.2
1994.792,-27.5
1994.875,-35.7
1994.958,-31.9
1995.042,-37.3
1995.125,-35.2
1995.208,-35.6
1995.292,-33.1
1995.375,-41.7
1995.458,-36.6
1995.542,-41.6
1995.625,-30.7
1995.708,-28.2
1995.792,-23.3
1995.875,-29.1
1995.958,-26.5
1996.042,-39.5
1996.125,-29.5
1996.208,-34.9
1996.292,-30.9
1996.375,-32.9
1996.458,-30.5
1996.542,-28.8
1996.625,-26
1996.708,-22.3
1996.792,-11.3
1996.875,-16.6
1996.958,-28.3
1997.042,-28.8
1997.125,-32.3
1997.208,-27.4
1997.292,-30.8
1997.375,-26.6
1997.458,-29.5
1997.542,-20.7
1997.625,-20.4
1997.708,-9
1997.792,-14.1
1997.875,-12
1997.958,-23.4
1998.042,-18.8
1998.125,-22.4
1998.208,-16.5
1998.292,-20.2
1998.375,-19.1
1998.458,-24.9
1998.542,-17.7
1998.625,-18
1998.708,-11.5
1998.792,-9.1
1998.875,-11.7
1998.958,-14.4
1999.042,-16.9
1999.125,-16.7
1999.208,-21.8
1999.292,-21
1999.375,-25.4
1999.458,-23.8
1999.542,-22.5
1999.625,-15
1999.708,-15.2
1999.792,-2.9
1999.875,-14.3
1999.958,-7.1
2000.042,-17.2
2000.125,-13
2000.208,-17.9
2000.292,-16
2000.375,-23.5
2000.458,-17.7
2000.542,-22.3
2000.625,-11.6
2000.708,-10.1
2000.792,-0.6
2000.875,-8.2
2000.958,-10.2
2001.042,-12.7
2001.125,-13.5
2001.208,-12.1
2001.292,-13.1
2001.375,-15.2
2001.458,-15.5
2001.542,-9.8
2001.625,-10.2
2001.708,1.7
2001.792,-3.1
2001.875,0.4
2001.958,-9.3
2002.042,-7.3
2002.125,-9.2
2002.208,-10.2
2002.292,-11.2
2002.375,-10.4
2002.458,-13.3
2002.542,-6.9
2002.625,-1.1
2002.708,-0.3
2002.792,5.2
2002.875,0
2002.958,-2.8
2003.042,-5.1
2003.125,-4.6
2003.208,-5.8
2003.292,-7.3
2003.375,-7.8
2003.458,-11.1
2003.542,-8.1
2003.625,-4.4
2003.708,4.6
2003.792,4.7
2003.875,2.3
2003.958,-0.7
2004.042,-0.4
2004.125,-4.7
2004.208,-3.1
2004.292,-4.4
2004.375,-7
2004.458,-7.6
2004.542,-3.8
2004.625,-1.7
2004.708,5.9
2004.792,4.4
2004.875,3.1
2004.958,3.3
2005.042,-1.5
2005.125,-0.7
2005.208,0.1
2005.292,-2.6
2005.375,-2.8
2005.458,-2.5
2005.542,-1.4
2005.625,2.5
2005.708,7.4
2005.792,10.1
2005.875,11.3
2005.958,8.7
2006.042,0.5
2006.125,1.9
2006.208,0.4
2006.292,0.2
2006.375,-1.1
2006.458,-0.3
2006.542,1.8
2006.625,5.3
2006.708,10.1
2006.792,13.4
2006.875,7.9
2006.958,7.6
2007.042,0.9
2007.125,1.1
2007.208,0.9
2007.292,4.8
2007.375,-0.2
2007.458,-0.8
2007.542,-0.8
2007.625,4.4
2007.708,8.3
2007.792,11.7
2007.875,13.7
2007.958,6.9
2008.042,6.6
2008.125,2.1
2008.208,6.1
2008.292,3.9
2008.375,8.8
2008.458,5.5
2008.542,7.2
2008.625,9.6
2008.708,16
2008.792,17.6
2008.875,18.2
2008.958,13.7
2009.042,11.5
2009.125,7.6
2009.208,11.3
2009.292,8.9
2009.375,10.3
2009.458,9.9
2009.542,12.1
2009.625,15.2
2009.708,21.6
2009.792,23.7
2009.875,22.9
2009.958,19.7
2010.042,12.9
2010.125,12.6
2010.208,12.3
2010.292,12.9
2010.375,13.4
2010.458,16.1
2010.542,15.4
2010.625,17.7
2010.708,18.3
2010.792,22.6
2010.875,19.4
2010.958,17.1
2011.042,12.5
2011.125,11.2
2011.208,7.5
2011.292,9.9
2011.375,8.4
2011.458,13
2011.542,12
2011.625,19.9
2011.708,20.9
2011.792,26.5
2011.875,22.6
2011.958,23.3
2012.042,24.2
2012.125,20.8
2012.208,19.9
2012.292,18.8
2012.375,19.9
2012.458,22.6
2012.542,27
2012.625,28
2012.708,32.6
2012.792,35
2012.875,34.9
2012.958,33.2
2013.042,30.6
2013.125,26
2013.208,28.6
2013.292,24.8
2013.375,25.4
2013.458,23.4
2013.542,27.4
2013.625,27
2013.708,32.6
2013.792,34
2013.875,35.9
2013.958,30.9
2014.042,29.4
2014.125,28.4
2014.208,29.1
2014.292,26.2
2014.375,25.8
2014.458,27.6
2014.542,30.9
2014.625,35.7
2014.708,37
2014.792,40.8
2014.875,36.7
2014.958,40.1
2015.042,34.9
2015.125,37.9
2015.208,35
2015.292,37.1
2015.375,34.1
2015.458,38.9
2015.542,39.7
2015.625,46.2
2015.708,49.7
2015.792,54.5
2015.875,51.1
2015.958,48.8
2016.042,45.3
2016.125,44.9
2016.208,44.2
2016.292,41.6
2016.375,40
2016.458,44.8
2016.542,43.4
2016.625,45.1